14,17
6,3
7,23
10,8
12,23
11,14
2,2
11,15
6,40
4,6
7,16
13,17
15,39
11,29
3,19
12,28
8,40
1,11
10,10
3,15
8,5
14,33
8,18
6,30
11,18
6,12
9,15
13,34
15,17
7,40
2,15
11,15
5,39
4,18
9,32
8,29
12,13
2,13
5,13
8,40
11,9
10,22
14,37
10,8
7,2
6,24
9,3
5,26
8,39
2,9
6,7
8,4
8,9
6,10
2,12
5,29
1,20
13,35
11,32
2,2
3,26
8,5
12,15
2,10
9,16
11,7
2,24
4,36
6,31
1,9
3,23
7,3
1,13
12,28
1,9
1,33
5,33
1,40
6,35
7,9
5,34
8,20
7,27
2,19
15,9
4,1
5,29
12,12
14,26
8,15
3,16
1,28
4,23
3,24
11,31
4,22
11,29
11,24
11,8
6,35
