1,2021/02/15,4,Ustna,1,4,33,23,9
2,2021/02/25,5,Egzamin,17,11,29,89,10
3,2021/02/25,2,Kolokwium,5,16,35,64,22
4,2021/02/16,2,Prezentacja,7,14,20,90,3
5,2021/02/23,5,Egzamin,5,4,5,92,22
6,2021/02/6,2,Egzamin,12,12,16,71,16
7,2021/02/6,3,Prezentacja,12,17,18,27,29
8,2021/02/6,4,Ustna,17,10,44,62,4
9,2021/02/22,5,Kolokwium,4,17,18,42,26
10,2021/02/19,3,Prezentacja,16,5,31,52,31
11,2021/02/21,2,Egzamin,17,16,31,46,39
12,2021/02/13,2,Egzamin,5,6,35,70,10
13,2021/02/7,2,Prezentacja,18,4,48,61,36
14,2021/02/13,4,Prezentacja,5,18,48,65,14
15,2021/02/6,3,Ustna,2,17,48,62,3
16,2021/02/9,4,Ustna,6,17,33,13,36
17,2021/02/23,5,Prezentacja,11,8,23,69,20
18,2021/02/4,4,Ustna,20,6,29,40,37
19,2021/02/2,2,Ustna,2,15,30,44,25
20,2021/02/5,2,Kolokwium,20,4,29,23,34
21,2021/02/1,5,Kolokwium,16,10,31,50,35
22,2021/02/23,5,Kolokwium,16,17,44,43,28
23,2021/02/5,3,Egzamin,2,14,33,90,26
24,2021/02/25,3,Prezentacja,12,14,1,28,36
25,2021/02/2,4,Kolokwium,16,13,47,56,7
26,2021/02/11,5,Kolokwium,5,8,21,36,36
27,2021/02/2,5,Egzamin,1,8,1,70,37
28,2021/02/26,4,Kolokwium,1,8,35,60,19
29,2021/02/18,4,Prezentacja,12,2,16,3,3
30,2021/02/24,5,Egzamin,12,15,2,81,20
31,2021/02/22,5,Ustna,11,6,6,15,10
32,2021/02/20,5,Prezentacja,19,10,12,11,38
33,2021/02/16,2,Prezentacja,11,13,42,7,4
34,2021/02/21,5,Prezentacja,12,5,25,73,20
35,2021/02/8,4,Ustna,16,11,39,24,2
36,2021/02/14,2,Kolokwium,15,7,4,78,38
37,2021/02/5,2,Kolokwium,9,17,21,48,20
38,2021/02/14,4,Ustna,13,7,20,39,28
39,2021/02/13,3,Prezentacja,5,13,29,95,12
40,2021/02/5,2,Prezentacja,3,11,18,51,9
41,2021/02/20,4,Kolokwium,2,7,41,6,34
42,2021/02/8,4,Kolokwium,11,20,9,37,29
43,2021/02/5,5,Prezentacja,9,20,32,23,24
44,2021/02/4,3,Kolokwium,18,11,32,23,9
45,2021/02/2,4,Ustna,11,2,29,30,14
46,2021/02/11,3,Egzamin,7,17,17,58,22
47,2021/02/19,5,Kolokwium,8,1,24,4,22
48,2021/02/20,3,Prezentacja,9,3,36,19,30
49,2021/02/6,5,Ustna,15,15,42,26,33
50,2021/02/18,2,Prezentacja,12,14,35,94,16
51,2021/02/8,2,Egzamin,11,12,13,98,23
52,2021/02/5,3,Kolokwium,10,6,39,93,22
53,2021/02/5,4,Prezentacja,2,1,40,76,26
54,2021/02/22,5,Ustna,15,14,25,65,18
55,2021/02/23,5,Ustna,5,12,38,97,10
56,2021/02/10,3,Prezentacja,4,5,33,3,19
57,2021/02/14,5,Prezentacja,17,5,15,18,17
58,2021/02/18,4,Egzamin,10,13,41,95,12
59,2021/02/20,2,Kolokwium,7,2,12,29,16
60,2021/02/8,2,Kolokwium,15,3,26,67,13
61,2021/02/26,4,Egzamin,3,19,7,98,39
62,2021/02/27,2,Prezentacja,4,8,44,68,38
63,2021/02/9,5,Prezentacja,11,9,7,50,24
64,2021/02/6,2,Ustna,12,9,41,75,10
65,2021/02/25,5,Egzamin,12,10,23,18,11
66,2021/02/13,5,Ustna,6,15,42,40,17
67,2021/02/4,5,Ustna,15,6,15,84,18
68,2021/02/13,5,Egzamin,18,11,40,10,28
69,2021/02/6,3,Kolokwium,1,14,40,88,5
70,2021/02/19,3,Egzamin,14,1,43,28,28
71,2021/02/17,4,Prezentacja,2,16,44,52,6
72,2021/02/28,4,Kolokwium,5,16,45,55,18
73,2021/02/14,3,Egzamin,9,9,3,79,22
74,2021/02/9,5,Prezentacja,19,7,22,82,24
75,2021/02/25,4,Prezentacja,1,8,21,44,5
76,2021/02/8,3,Prezentacja,10,20,17,64,5
77,2021/02/12,5,Kolokwium,16,20,29,95,28
78,2021/02/8,3,Kolokwium,13,1,21,51,27
79,2021/02/4,2,Egzamin,11,18,36,77,22
80,2021/02/4,2,Egzamin,16,9,28,52,28
81,2021/02/9,5,Kolokwium,19,10,1,4,34
82,2021/02/12,4,Prezentacja,20,10,46,20,31
83,2021/02/17,5,Prezentacja,4,9,15,40,17
84,2021/02/5,4,Ustna,3,16,5,31,23
85,2021/02/20,3,Ustna,12,13,6,10,21
86,2021/02/8,2,Ustna,13,10,26,99,36
87,2021/02/28,3,Egzamin,13,6,31,15,23
88,2021/02/11,2,Prezentacja,12,8,38,49,7
89,2021/02/14,3,Kolokwium,2,1,3,45,23
90,2021/02/9,3,Egzamin,16,18,17,70,32
91,2021/02/11,3,Prezentacja,8,12,12,88,7
92,2021/02/13,4,Egzamin,2,3,37,54,18
93,2021/02/7,4,Ustna,6,7,1,45,39
94,2021/02/7,4,Ustna,19,18,42,79,21
95,2021/02/7,4,Egzamin,20,16,45,73,17
96,2021/02/24,2,Kolokwium,5,5,43,22,34
97,2021/02/18,3,Kolokwium,2,19,24,6,38
98,2021/02/5,5,Egzamin,4,13,31,36,11
99,2021/02/15,3,Prezentacja,18,1,28,20,6
100,2021/02/3,4,Ustna,6,15,16,98,39
101,2021/02/3,4,Kolokwium,17,20,16,60,10
102,2021/02/11,5,Ustna,2,4,6,84,32
103,2021/02/21,4,Prezentacja,12,8,15,76,37
104,2021/02/23,2,Prezentacja,15,12,43,56,32
105,2021/02/16,3,Egzamin,15,14,17,72,37
106,2021/02/6,2,Egzamin,6,18,40,67,22
107,2021/02/1,2,Ustna,9,4,15,53,38
108,2021/02/19,3,Egzamin,11,6,6,41,13
109,2021/02/14,3,Kolokwium,9,3,18,36,15
110,2021/02/2,2,Ustna,11,20,45,57,28
111,2021/02/4,3,Prezentacja,17,18,36,63,17
112,2021/02/4,4,Kolokwium,11,2,39,58,38
113,2021/02/8,2,Prezentacja,18,4,12,45,22
114,2021/02/18,2,Egzamin,13,13,45,30,11
115,2021/02/26,5,Kolokwium,1,18,37,50,31
116,2021/02/9,5,Ustna,9,11,39,81,4
117,2021/02/16,2,Egzamin,18,20,23,64,28
118,2021/02/15,2,Ustna,16,6,31,90,26
119,2021/02/26,5,Ustna,8,19,12,90,31
120,2021/02/23,2,Prezentacja,16,14,46,48,22
121,2021/02/14,4,Ustna,6,5,11,47,17
122,2021/02/8,2,Egzamin,9,7,12,9,17
123,2021/02/25,3,Egzamin,18,18,31,59,10
124,2021/02/26,3,Prezentacja,12,10,20,97,36
125,2021/02/27,4,Prezentacja,13,7,16,56,27
126,2021/02/10,5,Kolokwium,3,11,45,59,16
127,2021/02/14,3,Kolokwium,12,6,39,65,15
128,2021/02/1,3,Egzamin,6,1,16,66,39
129,2021/02/27,5,Kolokwium,3,15,45,14,36
130,2021/02/1,5,Prezentacja,2,7,23,40,24
131,2021/02/26,4,Prezentacja,9,20,12,48,14
132,2021/02/25,3,Kolokwium,13,3,12,54,30
133,2021/02/1,5,Ustna,13,5,12,9,36
134,2021/02/16,4,Egzamin,3,18,37,88,16
135,2021/02/28,4,Egzamin,17,19,22,12,31
136,2021/02/21,3,Kolokwium,5,13,14,64,1
137,2021/02/1,2,Egzamin,10,8,3,96,25
