39,15
31,10
16,12
43,12
42,3
1,3
30,11
48,5
16,2
35,8
14,12
2,15
9,4
41,2
3,8
26,2
25,4
47,1
4,12
34,14
11,5
48,5
27,4
43,14
41,3
48,15
39,15
9,7
21,7
19,12
10,14
2,4
3,4
19,1
28,15
18,11
13,7
46,3
6,13
26,5
46,14
37,12
40,2
12,2
39,4
47,6
20,10
1,14
13,6
19,5
16,11
36,4
9,3
2,11
24,7
4,13
6,11
11,3
10,11
21,9
7,11
36,9
40,2
15,5
30,11
8,14
41,15
46,2
6,4
3,8
40,6
1,4
10,9
8,7
36,15
43,15
12,3
44,7
14,10
21,2
31,3
40,7
15,4
25,3
45,13
43,6
31,6
40,11
34,11
38,3
15,8
6,3
15,5
30,15
16,14
41,2
24,2
45,2
41,12
30,1
